,Name,Breed,Birth,Gender,Fur,Number,Title,Father,Mother
97,Rabackens Shakuntala,Helig birma (SBI),1972-05-07,Hona,blåmaskad (a),(SE)SVERAK LO 16657,,(SE)SVERAK LO 14008,(SE)SVERAK LO 14942
98,Juveniles Shakira,Helig birma (SBI),1976-01-16,Hona,blåmaskad (a),(SE)SVERAK LO 22064,IC,(SE)SVERAK LO 16617,(SE)SVERAK LO 16657
99,Mossekullens Chari,Helig birma (SBI),1980-04-11,Hane,blåmaskad (a),(SE)SVERAK LO 32045,CH,(SE)SVERAK LO 24953 B,(SE)SVERAK LO 22064
100,Cheapthrills Loella,Helig birma (SBI),1980-08-30,Hona,brunmaskad (n),(SE)SVERAK LO 32854,,(SE)SVERAK LO 24283,(SE)SVERAK LO 20710
101,Rainy af Silverbäcken,Helig birma (SBI),1972-03-16,Hona,brunmaskad (n),(SE)SVERAK LO 16538,IC,(SE)SVERAK LO 16125,(SE)SVERAK LO 12802
102,Hassellidens Laiza,Helig birma (SBI),1976-04-13,Hona,brunmaskad (n),(SE)SVERAK LO 22239,,(SE)SVERAK LO 20936,(SE)SVERAK LO 16538
103,Hassellidens Ceasar,Helig birma (SBI),1978-08-21,Hane,brunmaskad (n),(SE)SVERAK LO 26301,IC,(SE)SVERAK LO 20936,(SE)SVERAK LO 18480
104,"PR
    Krusestorps Cerina",Helig birma (SBI),1978-05-30,Hona,brunmaskad (n),(SE)SVERAK LO 26321,",,IC",(SE)SVERAK LO 26320,(SE)SVERAK LO 22239
105,Trollehöjds Herkules,Helig birma (SBI),1980-08-22,Hane,brunmaskad (n),(SE)SVERAK LO 32877,CH,(SE)SVERAK LO 26301,(SE)SVERAK LO 26321
106,Sinh Fredrika af Silverbäcken,Helig birma (SBI),1978-05-20,Hona,brunmaskad (n),(SE)SVERAK LO 24936 B,,(SE)SVERAK LO 18214,(SE)SVERAK LO 20297
107,Mischief Trevino,Helig birma (SBI),1980-01-23,Hona,brunmaskad (n),(SE)SVERAK LO 34119,,(SE)SVERAK LO 18790,(SE)SVERAK LO 24936 B
108,Praha Mantra,Helig birma (SBI),1968-06-22,Hona,brunmaskad (n),(GB)GCCF OS 177711  (SE)SVERAK LO 12150,IC,(GB)GCCF OS 152530*IMP-F,(GB)GCCF OS 145502
